section,question_id,question,answer,notes
1. Business context,BC-01,"Industry / segment","Industrial manufacturing and distribution","Enterprise procurement operations"
1. Business context,BC-02,"Customer name + size indicator (mid-market / enterprise)","Contoso Manufacturing, Inc. — enterprise; 18,000 employees","Fictional QA customer"
1. Business context,BC-03,"Executive sponsor (name · role · email)","Dana Scully · VP Procurement Operations · dana.scully@contoso.com","Sponsor signs off on pilot and UAT"
1. Business context,BC-04,"Decision maker (if different from sponsor)","Priya Shah · CIO · priya.shah@contoso.com; Marco Silva · CISO · marco.silva@contoso.com for security approval",""
1. Business context,BC-05,"Problem statement in ONE sentence","Procurement risk analysts spend nearly two hours per supplier onboarding review collecting policy evidence, checking supplier records, and drafting risk cases before a sourcing decision can move forward.","No AI/agent wording"
1. Business context,BC-06,"In-scope processes","Supplier onboarding risk intake, supplier renewal review, evidence retrieval, draft risk recommendation, ServiceNow draft case creation, Dynamics 365 Finance recommendation write-back after approval",""
1. Business context,BC-07,"Out-of-scope (explicit)","Final supplier approval or rejection; payment release; contract negotiation; public-web research; supplier-facing communications; sourcing strategy recommendations","Autonomous decisions are out"
2. Users & journeys,UJ-01,"Primary persona — role / daily workflow / tools they live in","Procurement risk analyst · works in ServiceNow intake queue, Dynamics 365 Finance supplier records, SharePoint policy library, and uploaded evidence packets",""
2. Users & journeys,UJ-02,"Secondary persona (if any)","Category manager · reviews recommendation, asks follow-up questions, and approves or rejects next action",""
2. Users & journeys,UJ-03,"Top user journey #1 (one sentence)","Analyst submits a supplier review request with supplier ID, category, country, spend band, and review reason; the solution returns an evidence-backed risk brief and missing-information list.",""
2. Users & journeys,UJ-04,"Top user journey #2 (one sentence)","Analyst reviews cited evidence, adjusts the recommendation if needed, and approves creation of a ServiceNow procurement-risk case.",""
2. Users & journeys,UJ-05,"Top user journey #3 (one sentence)","After HITL approval, the solution writes the approved recommendation and evidence summary to Dynamics 365 Finance supplier onboarding notes.",""
3. Success criteria,SC-01,"Time per task — current","110 minutes median supplier review cycle time","From March 2026 time study across 120 sampled reviews"
3. Success criteria,SC-02,"Time per task — target","18 minutes median supplier review cycle time","Includes analyst review and approval"
3. Success criteria,SC-03,"Volume / throughput — current (unit = per period)","45 completed reviews per week","ServiceNow completed-case count"
3. Success criteria,SC-04,"Volume / throughput — target","130 completed reviews per week","Needed for renewal-wave demand"
3. Success criteria,SC-05,"Quality bar — how customer will know quality is good enough","At least 92% reviewer agreement on 60 sampled pilot cases and zero critical audit misses","Blind review by Procurement Operations and Internal Audit"
3. Success criteria,SC-06,"Must-not-do guardrails #1","Must not approve, reject, or suspend a supplier without explicit human approval.",""
3. Success criteria,SC-07,"Must-not-do guardrails #2","Must not present a factual compliance, sanctions, or policy claim without a citation from an approved source.",""
3. Success criteria,SC-08,"Must-not-do guardrails #3","Must not send supplier-facing messages, update ERP records, or create ServiceNow cases without a HITL checkpoint.",""
4. ROI hypothesis,RH-01,"Baseline cost of status quo — model","14 FTE × $145,000 loaded annual cost × 60% time on supplier reviews","FTE-based model"
4. ROI hypothesis,RH-02,"Baseline cost of status quo — number","$1,218,000 per year","Calculated in ROI workbook"
4. ROI hypothesis,RH-03,"Target annual savings ($)","$708,912 net annual impact","After estimated Azure run cost and agent-call cost"
4. ROI hypothesis,RH-04,"Payback period target (months)","<= 4 months; model shows approximately 3.0 months with a $180,000 implementation-cost assumption",""
4. ROI hypothesis,RH-05,"KPI event #1 name","supplier_review_cycle_time","Snake_case event name"
4. ROI hypothesis,RH-06,"KPI event #1 type","duration_ms",""
4. ROI hypothesis,RH-07,"KPI event #1 baseline","6600000","110 minutes in milliseconds"
4. ROI hypothesis,RH-08,"KPI event #1 target","1080000","18 minutes in milliseconds"
4. ROI hypothesis,RH-09,"KPI event #2 name","autonomous_triage_coverage",""
4. ROI hypothesis,RH-10,"KPI event #2 type","ratio",""
4. ROI hypothesis,RH-11,"KPI event #2 baseline","0.00","No automation today"
4. ROI hypothesis,RH-12,"KPI event #2 target","0.72","72% of cases handled end-to-end through draft recommendation with HITL"
4. ROI hypothesis,RH-13,"KPI event #3 name","hitl_approval_rate",""
4. ROI hypothesis,RH-14,"KPI event #3 type","ratio",""
4. ROI hypothesis,RH-15,"KPI event #3 baseline","1.00","Fully manual today"
4. ROI hypothesis,RH-16,"KPI event #3 target","0.88","88% of agent-produced drafts expected to be approved as-is"
5. Solution shape,SS-01,"Pattern (supervisor-routing / single-agent / chat-with-actioning)","supervisor-routing",""
5. Solution shape,SS-02,"Rationale for pattern choice","The workflow has separable intake validation, evidence retrieval, risk scoring, case drafting, and side-effect execution responsibilities that need specialist workers and a supervisor decision record.",""
5. Solution shape,SS-03,"Grounding sources","SharePoint procurement policy library; Azure SQL supplier master and onboarding history replica; Dynamics 365 Finance supplier profile API; ServiceNow procurement-risk case API; analyst-uploaded evidence packets in blob storage",""
5. Solution shape,SS-04,"Side-effect tool #1 — name / system / operation / reversible? / HITL policy","create_supplier_risk_case / ServiceNow procurement-risk workspace / create draft procurement-risk case with cited evidence and recommended next action / reversible by closing as void / HITL required",""
5. Solution shape,SS-05,"Side-effect tool #2 (if any)","update_supplier_review_status / Dynamics 365 Finance supplier onboarding / write approved recommendation, confidence, and evidence summary to onboarding notes / reversible via audited correction entry / HITL required",""
5. Solution shape,SS-06,"Side-effect tool #3 (if any)","None",""
5. Solution shape,SS-07,"Out-of-scope tools (explicit)","No supplier approval, rejection, suspension, payment-release write, supplier-facing email, public-web search, third-party sanctions lookup, contract-system write, or sourcing-event write in v1.",""
5. Solution shape,SS-08,"HITL policy default","required","Every external write requires approval"
6. Constraints & risks,CR-01,"Data residency","us",""
6. Constraints & risks,CR-02,"Identity provider","entra-id",""
6. Constraints & risks,CR-03,"Compliance regime","SOC 2; GDPR supplier-contact handling; SOX procurement controls",""
6. Constraints & risks,CR-04,"Azure AI Landing Zone tier","avm","Private endpoints required for production paths"
6. Constraints & risks,CR-05,"RAI risk #1 (specific to this scenario)","The solution fabricates a supplier compliance or sanctions status that is not present in an approved source.",""
6. Constraints & risks,CR-06,"RAI risk #2","The solution recommends approving a supplier despite missing mandatory evidence.",""
6. Constraints & risks,CR-07,"RAI risk #3","The solution leaks supplier contact details or commercially sensitive spend data into an unauthorized output.",""
6. Constraints & risks,CR-08,"RAI risk #4 (optional)","The solution bypasses or weakens HITL for ServiceNow or Dynamics 365 write-back.",""
6. Constraints & risks,CR-09,"RAI risk #5 (optional)","The solution over-weights stale onboarding history and fails to cite the current policy matrix.",""
7. Acceptance evals,AE-01,"Quality threshold (0..1 golden agreement)","0.90",""
7. Acceptance evals,AE-02,"Groundedness threshold (0..1 on RAG cases)","0.92",""
7. Acceptance evals,AE-03,"Safety: redteam must pass","true","Zero successful XPIA, jailbreak, or HITL-bypass cases"
7. Acceptance evals,AE-04,"Latency P50 target (ms)","45000",""
7. Acceptance evals,AE-05,"Latency P95 target (ms)","120000",""
7. Acceptance evals,AE-06,"Cost per call target ($)","0.42",""
